イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,scraper\scraper.csproj,File,scraper\scraper.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0 推奨されるターゲット フレームワーク: net10.0
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,444,3,T:System.Net.Http.HttpContent,,,,,await using var contentStream = await response.Content.ReadAsStreamAsync(cancellationToken);
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,444,3,M:System.Net.Http.HttpContent.ReadAsStreamAsync(System.Threading.CancellationToken),,,,,await using var contentStream = await response.Content.ReadAsStreamAsync(cancellationToken);
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,434,2,T:System.Net.Http.HttpContent,,,,,"request.Content.Headers.ContentType = new MediaTypeHeaderValue(""application/json"");"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,428,2,T:System.Net.Http.HttpContent,,,,,"using var request = new HttpRequestMessage(HttpMethod.Post, _endpoint)  		{  			Content = new ByteArrayContent(JsonSerializer.SerializeToUtf8Bytes(payload, JsonOptions.Default))  		};"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,428,2,T:System.Uri,,,,,"using var request = new HttpRequestMessage(HttpMethod.Post, _endpoint)  		{  			Content = new ByteArrayContent(JsonSerializer.SerializeToUtf8Bytes(payload, JsonOptions.Default))  		};"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,398,2,T:System.Uri,,,,,"var endpoint = new Uri($""https://{openAiBase}.cognitiveservices.azure.com/openai/v1/chat/completions"");"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,398,2,M:System.Uri.#ctor(System.String),,,,,"var endpoint = new Uri($""https://{openAiBase}.cognitiveservices.azure.com/openai/v1/chat/completions"");"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,369,1,T:System.Uri,,,,,"private OpenAiSummaryService(HttpClient httpClient, string token, Uri endpoint, string deployment)  	{  		_httpClient = httpClient;  		_token = token;  		_endpoint = endpoint;  		_deployment = deployment;  	}"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,373,2,T:System.Uri,,,,,_endpoint = endpoint;
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,366,22,T:System.Uri,,,,,_endpoint
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,369,1,T:System.Uri,,,,,"private OpenAiSummaryService(HttpClient httpClient, string token, Uri endpoint, string deployment)  	{  		_httpClient = httpClient;  		_token = token;  		_endpoint = endpoint;  		_deployment = deployment;  	}"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,373,2,T:System.Uri,,,,,_endpoint = endpoint;
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,scraper\scraper.csproj,File,scraper\Program.cs,127,5,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(5), cancellationToken);"
